Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,imported in kgs,Importer reported quantity,Exporter reported quantity,Exported in kgs,Total Quantity,Term,Unit,Purpose,Source
2016,I,Crocodylus siamensis,Reptilia,Crocodylia,Crocodylidae,Crocodylus,HK,SG,TH,3.51,3.51,7.02,7.02,10.53,oil,kg,T,D
2016,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,BR,PT,FR,0,0,2,2,2,live,qty,T,C
2016,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,BR,PT,null,0,0,2,2,2,live,qty,T,C
2016,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,BS,US,null,0,0,1,1,1,live,qty,Q,F
2016,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,CA,US,CA,0,0,1,1,1,live,qty,P,C
2016,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,CA,US,CA,0,0,1,1,1,live,qty,P,O
2016,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,CA,US,null,0,0,2,2,2,live,qty,P,F
2016,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,CR,US,null,0,0,1,1,1,live,qty,P,F
2016,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,KG,KZ,NULL,0,0,1,1,1,live,qty,Q,W
2016,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,KW,ES,null,0,0,2,2,2,live,qty,T,C
2016,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,NL,SG,null,0,0,16,16,16,specimens,qty,S,C
2016,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,SR,NL,BE,0,0,1,1,1,live,qty,T,C
2016,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,SR,NL,null,0,0,1,1,1,live,qty,P,F
2016,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,TW,SG,null,0,0,30,30,30,live,qty,T,D
2016,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,US,BS,null,0,0,1,1,1,live,qty,Q,C
2016,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,US,SG,null,0,0,2,2,2,specimens,qty,S,C
2016,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,BH,BE,DE,0,0,1,1,1,live,qty,T,C
2016,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,CA,US,CA,0,0,1,1,1,live,qty,P,C
2016,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,CH,ES,null,0,0,1,1,1,live,qty,T,C
2016,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,CH,FR,null,0,0,1,1,1,live,qty,T,C
2016,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,KR,PH,null,0,0,1,1,1,live,qty,Z,C
2016,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,NL,SG,null,0,0,6,6,6,specimens,qty,M,C
2016,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,NL,SG,null,0,0,3,3,3,specimens,qty,S,C
2016,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,NO,DK,DE,0,0,1,1,1,live,qty,T,C
2016,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,PA,NL,CZ,0,0,4,4,4,live,qty,T,C
2016,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,TW,BE,AT,0,0,1,1,1,live,qty,T,C
2016,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,TW,BE,DE,0,0,1,1,1,live,qty,T,C
2016,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,TW,BE,DK,0,0,2,2,2,live,qty,T,C
2016,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,TW,BE,HU,0,0,1,1,1,live,qty,T,C
2016,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,TW,BE,IT,0,0,1,1,1,live,qty,T,C
2016,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,TW,BE,null,0,0,2,2,2,live,qty,T,F
2016,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,TW,SG,null,0,0,30,30,30,live,qty,B,C
2016,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,US,SG,null,0,0,24,24,24,specimens,qty,M,C
2016,I,Probosciger aterrimus,Aves,Psittaciformes,Cacatuidae,Probosciger,BG,UZ,null,0,0,4,4,4,live,qty,T,C
2016,I,Probosciger aterrimus,Aves,Psittaciformes,Cacatuidae,Probosciger,DE,PH,null,0,0,28,28,28,feathers,qty,M,C
2016,I,Probosciger aterrimus,Aves,Psittaciformes,Cacatuidae,Probosciger,DE,PH,null,0,0,20,20,20,live,qty,B,C
2016,I,Probosciger aterrimus,Aves,Psittaciformes,Cacatuidae,Probosciger,DE,PH,null,0,0,56,56,56,specimens,qty,M,C
2016,I,Probosciger aterrimus,Aves,Psittaciformes,Cacatuidae,Probosciger,FR,SG,null,0,0,5,5,5,specimens,qty,Z,C
2016,I,Probosciger aterrimus,Aves,Psittaciformes,Cacatuidae,Probosciger,IR,KW,PH,0,0,4,4,4,live,qty,T,C
2016,I,Probosciger aterrimus,Aves,Psittaciformes,Cacatuidae,Probosciger,NL,SG,null,0,0,9,9,9,specimens,qty,M,C
